centre_id,centre_name,latitude,longitude,collection_start,collection_end,service_time_minutes,date,litres_collected,active_farmers
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-06,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-07,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-08,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-09,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-10,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-11,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-12,205.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-13,215.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-14,210.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-15,220.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-16,215.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-17,210.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-18,220.0,46
VLC_01,Rampura VLC,30.488,76.57,05:00,06:00,8,2026-09-19,220.0,46
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-06,366.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-07,358.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-08,350.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-09,374.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-10,366.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-11,358.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-12,350.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-13,395.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-14,385.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-15,405.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-16,395.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-17,385.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-18,405.0,82
VLC_02,Kheri VLC,30.45,76.56,05:15,06:15,10,2026-09-19,470.0,82
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-06,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-07,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-08,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-09,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-10,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-11,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-12,168.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-13,165.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-14,170.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-15,165.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-16,170.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-17,165.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-18,170.0,34
VLC_03,Banur VLC,30.555,76.715,05:00,06:00,7,2026-09-19,160.0,34
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-06,381.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-07,374.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-08,382.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-09,375.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-10,383.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-11,376.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-12,384.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-13,377.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-14,385.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-15,378.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-16,386.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-17,379.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-18,387.0,68
VLC_04,Tepla VLC,30.42,76.65,05:30,06:30,8,2026-09-19,380.0,68
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-06,411.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-07,404.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-08,412.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-09,405.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-10,413.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-11,406.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-12,414.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-13,407.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-14,415.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-15,408.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-16,416.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-17,409.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-18,417.0,74
VLC_05,Ghanaur VLC,30.33,76.61,05:15,06:45,9,2026-09-19,410.0,74
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-06,391.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-07,384.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-08,392.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-09,385.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-10,393.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-11,386.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-12,394.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-13,387.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-14,395.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-15,388.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-16,396.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-17,389.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-18,397.0,71
VLC_06,Shambhu VLC,30.44,76.72,05:00,06:30,8,2026-09-19,390.0,71
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-06,421.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-07,414.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-08,422.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-09,415.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-10,423.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-11,416.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-12,424.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-13,417.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-14,425.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-15,418.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-16,426.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-17,419.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-18,427.0,76
VLC_07,Alampur VLC,30.51,76.52,05:30,06:30,9,2026-09-19,420.0,76
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-06,361.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-07,354.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-08,362.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-09,355.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-10,363.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-11,356.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-12,364.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-13,357.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-14,365.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-15,358.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-16,366.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-17,359.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-18,367.0,65
VLC_08,Jansla VLC,30.46,76.67,05:45,07:00,8,2026-09-19,360.0,65
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-06,386.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-07,379.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-08,387.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-09,380.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-10,388.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-11,381.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-12,389.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-13,382.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-14,390.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-15,383.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-16,391.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-17,384.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-18,392.0,69
VLC_09,Dharamgarh VLC,30.53,76.62,05:00,06:15,8,2026-09-19,385.0,69
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-06,401.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-07,394.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-08,402.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-09,395.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-10,403.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-11,396.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-12,404.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-13,397.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-14,405.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-15,398.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-16,406.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-17,399.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-18,407.0,72
VLC_10,Chamaru VLC,30.38,76.55,05:30,06:45,9,2026-09-19,400.0,72
VLC_11,Neelpur VLC,30.47,76.59,05:15,06:15,8,2026-09-06,376.0,67
VLC_11,Neelpur VLC,30.47,76.59,05:15,06:15,8,2026-09-07,369.0,67
VLC_11,Neelpur VLC,30.47,76.59,05:15,06:15,8,2026-09-08,377.0,67
VLC_11,Neelpur VLC,30.47,76.59,05:15,06:15,8,2026-09-09,370.0,67
VLC_11,Neelpur VLC,30.47,76.59,05:15,06:15,8,2026-09-10,378.0,67
VLC_11,Neelpur VLC,30.47,76.59,05:15,06:15,8,2026-09-11,371.0,67
